TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD,Up
,,,,,,,,,,,,,,nonwinner121.ai,nonwinner63.ai,nonwinner76.ai,,1,,5
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner159.ai,nonwinner39.ai,,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
73,804,15,10,25,22,38,34,49,53,69,74,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner30.ai,nonwinner44.ai,,2,,6
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner138.ai,nonwinner25.ai,,2,,6
,,,,,,,,,,,,winner02.ai,,,,,,2,2,6
31,5158,,,26,16,32,42,48,46,72,70,free01.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner163.ai,nonwinner99.ai,nonwinner12.ai,,3,,7
33,5299,,,19,20,36,33,49,46,65,61,free01.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner140.ai,nonwinner146.ai,nonwinner54.ai,,3,,7
,,,,,,,,,,,,winner03.ai,,,,,,3,3,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
12,4469,10,04,19,27,,,,,66,71,free03.ai,free04.ai,,,,base02.ai,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner136.ai,nonwinner41.ai,nonwinner56.ai,,4,,8
6,220,,,23,27,,,47,59,69,71,free01.ai,free03.ai,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner134.ai,nonwinner01.ai,,4,,8
34,4769,09,11,27,26,,,59,46,74,72,free03.ai,,,,,base02.ai,4,,8
125,4179,13,05,23,30,37,45,47,55,61,62,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner36.ai,nonwinner165.ai,,4,,8
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner57.ai,nonwinner131.ai,,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
87,2038,03,12,28,29,39,38,53,59,67,74,,,,,,base02.ai,1,,1
10,7232,02,09,18,16,,,51,49,,,free03.ai,free05.ai,,,,base02.ai,1,,1
80,7467,06,05,19,20,35,41,46,52,65,66,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner148.ai,nonwinner59.ai,nonwinner117.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner52.ai,nonwinner57.ai,,1,,1
44,2038,14,03,,,36,39,46,53,62,67,free02.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner106.ai,nonwinner66.ai,nonwinner80.ai,,2,,2
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner46.ai,nonwinner58.ai,,2,,2
,,,,,,,,,,,,,,nonwinner153.ai,nonwinner87.ai,nonwinner79.ai,,2,,2
,,,,,,,,,,,,,,nonwinner94.ai,nonwinner28.ai,nonwinner98.ai,,2,,2
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner112.ai,nonwinner15.ai,,2,,2
,,,,,,,,,,,,,,nonwinner104.ai,nonwinner38.ai,nonwinner45.ai,,3,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner70.ai,nonwinner87.ai,,3,,3
,,,,,,,,,,,,,,nonwinner132.ai,nonwinner88.ai,nonwinner22.ai,,3,,3
132,6216,03,02,28,19,43,34,60,48,65,70,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner126.ai,nonwinner61.ai,,3,,3
6,1323,12,09,29,23,,,,,75,74,free03.ai,free04.ai,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner24.ai,nonwinner13.ai,nonwinner11.ai,,3,,3
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner99.ai,nonwinner79.ai,,4,,4
115,7342,10,11,27,30,33,38,57,56,73,67,,,,,,base02.ai,4,,4
38,3508,03,01,16,17,31,40,46,47,,,free05.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner03.ai,,,,,,4,3,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
66,3525,04,09,27,19,37,40,53,50,68,64,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner149.ai,nonwinner23.ai,,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
,,,,,,,,,,,,,,nonwinner128.ai,nonwinner105.ai,nonwinner164.ai,,1,,5
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner142.ai,nonwinner95.ai,,1,,5
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner146.ai,nonwinner22.ai,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
99,8382,11,15,21,16,37,44,46,48,62,73,,,,,,base02.ai,1,,5
22,1150,04,13,17,18,41,34,52,53,,,free05.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner109.ai,nonwinner70.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner53.ai,nonwinner95.ai,,2,,6
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner12.ai,nonwinner149.ai,,2,,6
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner130.ai,nonwinner98.ai,,2,,6
108,4560,03,10,24,27,43,34,56,50,63,72,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner26.ai,nonwinner59.ai,,2,,6
5,1323,15,08,22,19,,,,,63,69,free03.ai,free04.ai,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner29.ai,nonwinner134.ai,,3,,7
,,,,,,,,,,,,winner03.ai,,,,,,3,3,7
75,8227,06,01,21,24,42,31,53,58,70,73,,,,,,base02.ai,3,,7
138,7967,08,04,26,17,41,31,53,48,72,75,,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
117,4528,14,09,22,19,41,31,48,53,61,69,,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
,,,,,,,,,,,,,,nonwinner68.ai,nonwinner73.ai,nonwinner12.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
55,4177,12,14,30,19,43,31,,,65,66,free04.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner44.ai,nonwinner76.ai,,4,,8
97,7894,06,07,28,18,33,36,58,54,75,68,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner104.ai,nonwinner27.ai,nonwinner103.ai,,4,,8
,,,,,,,,,,,,,,nonwinner108.ai,nonwinner05.ai,nonwinner37.ai,,1,,1
,,,,,,,,,,,,winner03.ai,,,,,,1,3,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner79.ai,nonwinner24.ai,,1,,1
24,2926,05,13,26,24,45,40,,,68,65,free04.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner01.ai,nonwinner126.ai,,1,,1
73,7369,12,03,30,19,36,44,46,48,64,74,,,,,,base02.ai,1,,1
135,4337,08,11,22,29,41,36,53,56,70,71,,,,,,base02.ai,2,,2
121,2974,13,11,17,24,33,32,52,55,64,74,,,,,,base02.ai,2,,2
9,7062,,,19,29,,,52,56,61,64,free01.ai,free03.ai,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner140.ai,nonwinner12.ai,,2,,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2,2
72,804,05,03,17,16,36,43,55,60,68,62,,,,,,base02.ai,2,,2
93,5615,13,06,30,22,44,31,54,52,72,67,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner86.ai,nonwinner106.ai,,3,,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3,3
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner106.ai,nonwinner39.ai,,3,,3
20,971,02,12,16,29,31,35,,,72,66,free04.ai,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner113.ai,nonwinner80.ai,,3,,3
90,8916,13,10,30,17,34,41,56,58,70,65,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner85.ai,nonwinner47.ai,,3,,3
,,,,,,,,,,,,,,nonwinner155.ai,nonwinner44.ai,nonwinner07.ai,,4,,4
10,7581,,,16,21,42,32,,,65,75,free01.ai,free04.ai,,,,base02.ai,4,,4
136,2509,07,05,18,21,42,35,47,55,73,70,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner27.ai,nonwinner16.ai,nonwinner62.ai,,4,,4
3,4949,01,15,,,,,51,48,68,64,free02.ai,free03.ai,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner34.ai,nonwinner70.ai,nonwinner87.ai,,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,4,4,4
50,1261,08,11,19,18,,,57,56,66,63,free03.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner73.ai,nonwinner139.ai,nonwinner11.ai,,1,,5
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner03.ai,nonwinner18.ai,,1,,5
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner31.ai,nonwinner121.ai,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
80,5673,14,10,27,30,39,44,55,54,64,62,,,,,,base02.ai,2,,6
38,963,,,26,29,32,37,56,53,67,74,free01.ai,,,,,base02.ai,2,,6
3,2029,,,22,19,,,46,58,65,71,free01.ai,free03.ai,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner155.ai,nonwinner104.ai,,2,,6
17,4320,11,03,28,26,40,34,47,51,,,free05.ai,,,,,base02.ai,2,,6
66,7050,06,08,19,28,45,40,50,60,64,71,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner142.ai,nonwinner70.ai,,3,,7
,,,,,,,,,,,,,,nonwinner104.ai,nonwinner155.ai,nonwinner64.ai,,3,,7
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner161.ai,nonwinner32.ai,,3,,7
40,8314,08,15,,,43,45,47,59,71,62,free02.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner16.ai,nonwinner49.ai,,3,,7
,,,,,,,,,,,,,,nonwinner163.ai,nonwinner82.ai,nonwinner66.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner142.ai,nonwinner159.ai,nonwinner06.ai,,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
69,8162,01,06,21,16,45,39,57,50,61,74,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner55.ai,nonwinner164.ai,,4,,8
,,,,,,,,,,,,winner03.ai,,,,,,4,3,8
118,3072,06,14,16,19,39,35,54,58,69,74,,,,,,base02.ai,4,,8
132,4654,04,12,19,20,31,34,54,50,63,67,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner20.ai,nonwinner11.ai,,1,,1
,,,,,,,,,,,,,,nonwinner74.ai,nonwinner26.ai,nonwinner53.ai,,1,,1
,,,,,,,,,,,,,,nonwinner62.ai,nonwinner38.ai,nonwinner61.ai,,1,,1
108,2943,12,01,27,23,38,37,53,49,71,63,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner69.ai,nonwinner36.ai,,1,,1
31,7627,04,08,20,17,38,34,58,51,,,free05.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner71.ai,nonwinner21.ai,nonwinner160.ai,,2,,2
86,7893,08,14,30,23,42,33,47,58,65,74,,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner56.ai,nonwinner64.ai,,2,,2
23,2853,01,05,22,23,39,35,49,55,,,free05.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
128,8980,13,09,22,28,41,44,56,55,65,64,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner70.ai,nonwinner153.ai,,3,,3
62,7990,15,14,23,26,35,34,50,54,61,73,,,,,,base02.ai,3,,3
111,7735,03,11,16,28,40,38,53,48,72,65,,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3,3
118,3980,14,07,19,24,38,44,51,59,74,67,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner129.ai,nonwinner35.ai,,3,,3
,,,,,,,,,,,,,,nonwinner58.ai,nonwinner02.ai,nonwinner139.ai,,3,,3
,,,,,,,,,,,,winner04.ai,,,,,,4,4,4
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner68.ai,nonwinner95.ai,,4,,4
59,8530,07,03,30,16,32,33,59,47,64,67,,,,,,base02.ai,4,,4
94,5096,02,14,22,26,43,37,48,59,73,74,,,,,,base02.ai,4,,4
122,3223,06,01,22,16,40,34,53,58,67,63,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner102.ai,nonwinner160.ai,,4,,4
,,,,,,,,,,,,,,nonwinner142.ai,nonwinner165.ai,nonwinner120.ai,,4,,4
,,,,,,,,,,,,,,nonwinner123.ai,nonwinner49.ai,nonwinner160.ai,,1,,5
127,7735,10,11,24,28,41,38,50,48,73,65,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner158.ai,nonwinner160.ai,nonwinner27.ai,,1,,5
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner136.ai,nonwinner158.ai,,1,,5
,,,,,,,,,,,,,,nonwinner39.ai,nonwinner98.ai,nonwinner138.ai,,1,,5
,,,,,,,,,,,,,,nonwinner161.ai,nonwinner15.ai,nonwinner78.ai,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner05.ai,nonwinner86.ai,,2,,6
24,3210,02,01,25,17,34,31,,,62,65,free04.ai,,,,,base02.ai,2,,6
122,4736,12,11,17,26,42,40,59,54,72,70,,,,,,base02.ai,2,,6
115,8452,13,15,30,18,32,39,56,60,71,69,,,,,,base02.ai,2,,6
59,7965,05,10,20,26,35,40,47,46,67,75,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner45.ai,nonwinner47.ai,,2,,6
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner32.ai,nonwinner40.ai,,3,,7
,,,,,,,,,,,,,,nonwinner22.ai,nonwinner59.ai,nonwinner93.ai,,3,,7
,,,,,,,,,,,,,,nonwinner23.ai,nonwinner131.ai,nonwinner61.ai,,3,,7
110,7364,13,12,20,24,34,39,51,49,62,66,,,,,,base02.ai,3,,7
19,3552,08,01,24,17,40,37,,,71,65,free04.ai,,,,,base02.ai,3,,7
131,4970,13,08,21,24,44,37,52,53,66,70,,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
62,1275,08,01,30,17,32,35,47,53,68,73,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner50.ai,nonwinner58.ai,,4,,8
83,5775,07,06,19,24,43,38,50,60,67,61,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
,,,,,,,,,,,,winner01.ai,,,,,,4,1,8
,,,,,,,,,,,,,,nonwinner88.ai,nonwinner150.ai,nonwinner21.ai,,4,,8
,,,,,,,,,,,,,,nonwinner112.ai,nonwinner07.ai,nonwinner140.ai,,4,,8
122,7129,09,07,28,19,35,44,54,59,64,61,,,,,,base02.ai,1,,1
17,5526,14,01,,,34,43,50,48,69,64,free02.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
59,6923,14,04,19,30,36,35,51,46,72,75,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner37.ai,nonwinner95.ai,,1,,1
,,,,,,,,,,,,,,nonwinner111.ai,nonwinner68.ai,nonwinner157.ai,,1,,1
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner101.ai,nonwinner65.ai,,2,,2
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner162.ai,nonwinner06.ai,,2,,2
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner53.ai,nonwinner99.ai,,2,,2
2,2826,03,09,,,,,52,53,72,63,free02.ai,free03.ai,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner161.ai,nonwinner164.ai,,2,,2
114,7009,11,13,20,17,42,31,60,50,69,63,,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner164.ai,nonwinner112.ai,nonwinner57.ai,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner38.ai,nonwinner100.ai,nonwinner142.ai,,3,,3
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner39.ai,nonwinner26.ai,,3,,3
125,48,12,08,20,30,38,45,58,49,69,64,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner30.ai,nonwinner164.ai,nonwinner159.ai,,4,,4
,,,,,,,,,,,,,,nonwinner141.ai,nonwinner119.ai,nonwinner105.ai,,4,,4
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner89.ai,nonwinner112.ai,,4,,4
17,7092,08,13,24,16,,,50,51,69,70,free03.ai,,,,,base02.ai,4,,4
52,6375,,,17,23,40,45,57,54,65,71,free01.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner52.ai,nonwinner123.ai,,4,,4
,,,,,,,,,,,,,,nonwinner52.ai,nonwinner124.ai,nonwinner86.ai,,4,,4
113,7861,09,11,26,23,31,39,58,59,75,72,,,,,,base02.ai,1,,5
29,1583,,,22,19,33,38,47,58,74,67,free01.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,,,nonwinner28.ai,nonwinner127.ai,nonwinner22.ai,,1,,5
,,,,,,,,,,,,,,nonwinner91.ai,nonwinner41.ai,nonwinner135.ai,,1,,5
1,1615,02,03,,,41,38,54,46,,,free02.ai,free05.ai,,,,base02.ai,1,,5
134,3359,13,09,22,26,44,32,52,54,73,71,,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner160.ai,nonwinner78.ai,nonwinner59.ai,,2,,6
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner135.ai,nonwinner136.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner95.ai,nonwinner145.ai,nonwinner27.ai,,2,,6
,,,,,,,,,,,,winner03.ai,,,,,,2,3,6
26,614,,,16,23,34,37,60,55,66,73,free01.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner103.ai,nonwinner145.ai,nonwinner50.ai,,3,,7
,,,,,,,,,,,,,,nonwinner80.ai,nonwinner74.ai,nonwinner141.ai,,3,,7
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner88.ai,nonwinner102.ai,,3,,7
,,,,,,,,,,,,,,nonwinner53.ai,nonwinner149.ai,nonwinner87.ai,,3,,7
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner98.ai,nonwinner101.ai,,3,,7
96,2810,02,05,28,29,42,43,54,48,69,68,,,,,,base02.ai,3,,7
139,8472,12,05,22,27,37,35,55,46,69,71,,,,,,base02.ai,4,,8
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner45.ai,nonwinner20.ai,,4,,8
,,,,,,,,,,,,winner03.ai,,,,,,4,3,8
111,4674,10,07,30,25,37,38,47,54,66,75,,,,,,base02.ai,4,,8
90,1107,14,06,28,17,41,40,47,51,61,71,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner80.ai,nonwinner05.ai,nonwinner124.ai,,4,,8
16,1901,02,08,24,23,45,35,,,67,73,free04.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner111.ai,nonwinner129.ai,nonwinner35.ai,,1,,1
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner36.ai,nonwinner63.ai,,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,,,nonwinner97.ai,nonwinner151.ai,nonwinner83.ai,,2,,2
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner78.ai,nonwinner38.ai,,2,,2
19,3105,02,06,,,44,41,53,49,66,64,free02.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner106.ai,nonwinner124.ai,nonwinner128.ai,,2,,2
40,3288,,,23,19,34,35,58,59,64,72,free01.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner48.ai,nonwinner107.ai,,2,,2
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner52.ai,nonwinner01.ai,,3,,3
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner104.ai,nonwinner67.ai,,3,,3
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner116.ai,nonwinner57.ai,,3,,3
,,,,,,,,,,,,,,nonwinner109.ai,nonwinner136.ai,nonwinner148.ai,,3,,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3,3
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner23.ai,nonwinner28.ai,,3,,3
78,7161,09,14,17,26,42,43,57,56,64,62,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner25.ai,nonwinner17.ai,,4,,4
75,1708,12,07,28,27,41,45,58,52,64,71,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner132.ai,nonwinner65.ai,nonwinner55.ai,,4,,4
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner144.ai,nonwinner34.ai,,4,,4
33,3948,10,06,,,41,40,46,54,63,69,free02.ai,,,,,base02.ai,4,,4
40,7954,03,02,,,43,36,47,57,65,67,free02.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner81.ai,nonwinner72.ai,,1,,5
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner88.ai,nonwinner69.ai,,1,,5
19,573,09,15,20,25,41,34,,,75,63,free04.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner85.ai,nonwinner20.ai,,1,,5
82,4657,04,14,25,30,43,44,50,59,74,66,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner128.ai,nonwinner17.ai,nonwinner132.ai,,1,,5
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner85.ai,nonwinner13.ai,,1,,5
35,4604,12,06,17,23,34,40,50,55,,,free05.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner87.ai,nonwinner22.ai,nonwinner56.ai,,2,,6
42,3887,13,01,19,22,,,54,46,69,61,free03.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner112.ai,nonwinner97.ai,nonwinner117.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
98,1863,10,08,18,23,33,35,58,51,68,73,,,,,,base02.ai,2,,6
,,,,,,,,,,,,winner03.ai,,,,,,2,3,6
76,649,06,09,25,19,31,33,58,46,72,75,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner126.ai,nonwinner61.ai,,3,,7
,,,,,,,,,,,,,,nonwinner139.ai,nonwinner82.ai,nonwinner81.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
27,614,02,10,21,30,40,39,,,62,69,free04.ai,,,,,base02.ai,3,,7
55,5282,12,13,,,41,45,50,59,69,64,free02.ai,,,,,base02.ai,3,,7
69,1228,13,12,17,19,43,31,54,49,63,74,,,,,,base02.ai,3,,7
78,3606,03,15,26,27,37,45,60,48,73,63,,,,,,base02.ai,4,,8
134,6858,13,06,22,20,32,34,48,49,70,73,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner164.ai,nonwinner03.ai,nonwinner28.ai,,4,,8
36,3260,03,02,,,31,34,53,57,71,67,free02.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner46.ai,nonwinner106.ai,,4,,8
64,7014,09,15,21,25,31,43,47,49,61,68,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner149.ai,nonwinner83.ai,nonwinner145.ai,,4,,8
23,7445,08,02,23,21,,,51,48,68,69,free03.ai,,,,,base02.ai,1,,1
9,3795,,,,,40,45,54,59,62,75,free01.ai,free02.ai,,,,base02.ai,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,1,4,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
100,6192,04,14,29,28,31,35,56,50,65,68,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner33.ai,nonwinner81.ai,,1,,1
86,2381,02,12,22,23,32,44,49,54,69,62,,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
33,5252,,,20,23,34,42,53,54,61,67,free01.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,winner03.ai,,,,,,2,3,2
,,,,,,,,,,,,winner03.ai,,,,,,2,3,2
124,7079,13,03,30,19,36,31,46,57,73,63,,,,,,base02.ai,2,,2
68,6071,04,10,28,24,34,40,60,46,74,65,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner153.ai,nonwinner97.ai,,3,,3
1,5662,,,20,30,,,49,53,71,67,free01.ai,free03.ai,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner64.ai,nonwinner125.ai,,3,,3
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner48.ai,nonwinner33.ai,,3,,3
8,3307,06,12,,,,,52,55,64,67,free02.ai,free03.ai,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner77.ai,nonwinner85.ai,,3,,3
,,,,,,,,,,,,,,nonwinner28.ai,nonwinner137.ai,nonwinner79.ai,,3,,3
