TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,Up
109,949,02,05,29,19,31,44,48,60,73,64,,,,,,base02.ai,1,17
101,7752,09,15,27,22,33,40,53,59,62,64,,,,,,base02.ai,2,18
75,3328,04,01,22,16,43,37,52,56,67,61,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner10.ai,nonwinner01.ai,,3,19
93,4220,11,14,26,22,38,41,52,57,73,62,,,,,,base02.ai,3,19
72,8327,03,01,21,20,37,32,48,49,74,68,,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner03.ai,,4,20
25,42,07,05,22,24,44,34,,,70,72,free04.ai,,,,,base02.ai,1,21
31,4853,,,24,23,41,38,55,51,71,67,free01.ai,,,,,base02.ai,1,21
139,7710,03,05,18,19,37,42,60,54,62,66,,,,,,base02.ai,2,22
9,4512,,,,,43,32,46,57,73,71,free01.ai,free02.ai,,,,base02.ai,2,22
78,5385,06,15,20,25,31,33,48,54,74,65,,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner14.ai,nonwinner13.ai,,3,23
133,5759,07,11,17,25,33,40,49,55,67,72,,,,,,base02.ai,4,24
101,8758,04,10,24,29,44,31,48,51,67,69,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner07.ai,,1,25
115,5565,15,02,24,19,45,36,55,57,68,63,,,,,,base02.ai,1,25
85,5642,03,02,23,29,37,42,59,60,66,75,,,,,,base02.ai,2,26
13,349,,,29,30,,,54,47,63,65,free01.ai,free03.ai,,,,base02.ai,2,26
80,2831,10,13,21,28,44,43,48,60,68,72,,,,,,base02.ai,3,27
100,6804,10,04,27,25,31,45,50,56,71,68,,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner01.ai,,4,28
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner12.ai,nonwinner13.ai,,4,28
124,6706,01,15,27,17,44,39,51,55,66,70,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner11.ai,,1,1
11,4790,,,,,38,43,53,48,70,64,free01.ai,free02.ai,,,,base02.ai,2,2
71,3830,06,01,21,30,44,38,51,49,66,62,,,,,,base02.ai,2,2
132,4684,07,08,23,16,36,35,52,55,67,71,,,,,,base02.ai,3,3
102,5709,06,07,23,30,34,39,48,59,67,64,,,,,,base02.ai,3,3
52,1106,,,16,25,42,38,58,50,70,64,free01.ai,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner12.ai,,4,4
68,6612,03,15,20,25,35,43,58,54,72,64,,,,,,base02.ai,1,5
20,714,,,28,24,42,31,56,47,65,71,free01.ai,,,,,base02.ai,1,5
63,2452,08,12,17,18,39,38,50,59,62,69,,,,,,base02.ai,2,6
77,7953,11,14,22,19,32,35,48,57,72,69,,,,,,base02.ai,2,6
16,5536,09,04,18,17,,,56,49,75,63,free03.ai,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner03.ai,nonwinner08.ai,,3,7
54,1680,10,11,,,35,33,59,52,67,72,free02.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner03.ai,,4,8
14,5894,03,15,,,31,36,,,62,75,free02.ai,free04.ai,,,,base02.ai,1,9
140,4115,12,03,30,19,43,34,55,49,73,64,,,,,,base02.ai,1,9
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner02.ai,,2,10
93,8376,05,13,27,28,33,32,55,48,65,63,,,,,,base02.ai,2,10
6,6139,,,,,32,34,59,54,66,62,free01.ai,free02.ai,,,,base02.ai,3,11
10,1328,,,,,38,41,46,53,69,73,free01.ai,free02.ai,,,,base02.ai,3,11
137,3614,02,05,18,19,41,39,48,49,62,65,,,,,,base02.ai,4,12
39,5091,,,26,19,36,38,57,49,66,72,free01.ai,,,,,base02.ai,4,12
77,5549,13,04,30,21,31,36,48,57,69,65,,,,,,base02.ai,1,13
95,8356,15,08,30,29,34,36,47,57,64,74,,,,,,base02.ai,1,13
2,1717,,,,,32,34,50,56,64,69,free01.ai,free02.ai,,,,base02.ai,2,14
30,894,,,24,27,34,38,53,52,66,65,free01.ai,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner02.ai,nonwinner15.ai,,3,15
96,5069,12,07,24,20,40,42,58,49,66,62,,,,,,base02.ai,3,15
127,3741,13,07,30,17,43,34,50,55,65,72,,,,,,base02.ai,4,16
83,4169,15,09,23,16,41,38,58,47,63,71,,,,,,base02.ai,4,16
133,6653,06,04,21,20,35,33,46,54,66,62,,,,,,base02.ai,1,17
95,8356,15,08,30,29,34,36,47,57,64,74,,,,,,base02.ai,1,17
25,6618,,,22,25,38,33,49,58,61,63,free01.ai,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner06.ai,,2,18
7,4892,,,,,43,35,47,49,72,71,free01.ai,free02.ai,,,,base02.ai,3,19
41,1111,,,27,17,38,45,51,56,70,61,free01.ai,,,,,base02.ai,3,19
20,7288,,,18,16,43,38,47,49,74,61,free01.ai,,,,,base02.ai,4,20
52,1106,,,16,25,42,38,58,50,70,64,free01.ai,,,,,base02.ai,4,20
1,1986,,,22,25,,,48,51,73,68,free01.ai,free03.ai,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner14.ai,nonwinner10.ai,,1,21
41,5497,08,10,,,40,33,51,48,63,62,free02.ai,,,,,base02.ai,2,22
57,1954,05,13,26,19,31,40,46,52,62,67,,,,,,base02.ai,2,22
40,7365,15,07,,,35,45,48,53,72,64,free02.ai,,,,,base02.ai,3,23
54,4197,10,15,,,44,40,50,60,65,75,free02.ai,,,,,base02.ai,3,23
57,4180,02,04,21,25,42,35,51,58,72,75,,,,,,base02.ai,4,24
55,8819,14,06,,,35,32,47,59,67,70,free02.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner14.ai,nonwinner09.ai,,1,25
49,2535,,,17,20,35,42,57,51,72,70,free01.ai,,,,,base02.ai,1,25
123,7861,05,11,27,23,43,39,50,59,64,72,,,,,,base02.ai,2,26
45,4946,,,28,29,40,38,54,57,61,64,free01.ai,,,,,base02.ai,2,26
56,249,12,14,,,35,41,56,54,71,67,free02.ai,,,,,base02.ai,3,27
70,3,06,11,16,19,45,43,48,55,68,73,,,,,,base02.ai,3,27
80,314,05,06,23,20,34,33,55,58,68,66,,,,,,base02.ai,4,28
64,501,03,09,24,22,32,41,48,53,74,62,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner12.ai,,1,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner10.ai,,1,1
101,7752,09,15,27,22,33,40,53,59,62,64,,,,,,base02.ai,2,2
57,1954,05,13,26,19,31,40,46,52,62,67,,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner14.ai,,3,3
108,2112,08,05,18,26,34,39,48,54,75,74,,,,,,base02.ai,3,3
6,2406,,,,,39,40,56,54,66,71,free01.ai,free02.ai,,,,base02.ai,4,4
48,2291,,,27,24,41,36,54,49,63,66,free01.ai,,,,,base02.ai,4,4
54,3536,,,24,23,40,43,49,56,64,61,free01.ai,,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner04.ai,,1,5
45,4946,,,28,29,40,38,54,57,61,64,free01.ai,,,,,base02.ai,2,6
41,5497,08,10,,,40,33,51,48,63,62,free02.ai,,,,,base02.ai,2,6
90,1420,06,11,20,23,38,40,51,56,63,68,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner06.ai,nonwinner01.ai,,3,7
90,2977,14,09,19,23,32,45,55,52,70,71,,,,,,base02.ai,4,8
20,7288,,,18,16,43,38,47,49,74,61,free01.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner12.ai,,1,9
114,2093,06,14,26,18,31,39,56,54,64,68,,,,,,base02.ai,1,9
137,2099,15,06,20,19,44,41,46,54,72,70,,,,,,base02.ai,2,10
79,4915,11,01,26,17,44,35,53,48,73,62,,,,,,base02.ai,2,10
56,249,12,14,,,35,41,56,54,71,67,free02.ai,,,,,base02.ai,3,11
104,4392,15,04,16,17,34,33,50,58,68,71,,,,,,base02.ai,3,11
13,5251,,,,,40,35,47,55,69,73,free01.ai,free02.ai,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner14.ai,nonwinner08.ai,,4,12
45,3336,14,12,29,17,,,55,50,61,71,free03.ai,,,,,base02.ai,1,13
111,6111,14,04,16,26,34,44,51,59,68,64,,,,,,base02.ai,1,13
70,2912,06,07,25,18,43,38,56,55,61,75,,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner13.ai,nonwinner12.ai,,2,14
100,6804,10,04,27,25,31,45,50,56,71,68,,,,,,base02.ai,3,15
120,6373,04,03,20,17,38,32,52,47,62,70,,,,,,base02.ai,3,15
49,5556,04,05,,,35,40,54,56,68,73,free02.ai,,,,,base02.ai,4,16
47,3032,07,15,,,38,42,50,59,68,75,free02.ai,,,,,base02.ai,4,16
39,6789,07,02,,,39,36,53,57,73,67,free02.ai,,,,,base02.ai,1,17
51,7532,,,18,27,35,43,52,60,61,64,free01.ai,,,,,base02.ai,1,17
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner15.ai,nonwinner13.ai,,2,18
105,696,01,09,17,20,44,45,59,54,67,65,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner11.ai,nonwinner08.ai,,3,19
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner11.ai,,3,19
96,321,06,01,20,22,43,41,58,47,64,66,,,,,,base02.ai,4,20
78,3207,12,01,16,20,37,40,58,48,73,75,,,,,,base02.ai,4,20
133,6653,06,04,21,20,35,33,46,54,66,62,,,,,,base02.ai,1,21
69,2200,04,07,29,19,31,35,52,46,62,72,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner04.ai,nonwinner02.ai,,2,22
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner03.ai,,2,22
2,1392,,,,,39,40,56,57,62,65,free01.ai,free02.ai,,,,base02.ai,3,23
84,4269,04,13,28,21,45,43,60,58,75,65,,,,,,base02.ai,3,23
89,346,05,09,24,30,33,43,52,60,68,74,,,,,,base02.ai,4,24
123,742,03,15,27,30,37,41,55,49,62,72,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner02.ai,,1,25
23,5342,,,17,21,34,39,48,52,72,64,free01.ai,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner11.ai,nonwinner15.ai,,2,26
79,4915,11,01,26,17,44,35,53,48,73,62,,,,,,base02.ai,2,26
96,5069,12,07,24,20,40,42,58,49,66,62,,,,,,base02.ai,3,27
122,874,10,03,17,26,33,37,47,54,63,67,,,,,,base02.ai,3,27
102,3679,07,11,20,26,43,34,54,56,67,71,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner12.ai,,4,28
88,1727,03,10,30,19,36,42,58,50,66,64,,,,,,base02.ai,1,1
126,2014,09,12,23,19,39,45,52,46,66,62,,,,,,base02.ai,1,1
137,2099,15,06,20,19,44,41,46,54,72,70,,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner13.ai,nonwinner11.ai,,2,2
74,5043,05,13,23,16,38,39,58,52,75,62,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner03.ai,nonwinner10.ai,,3,3
64,501,03,09,24,22,32,41,48,53,74,62,,,,,,base02.ai,4,4
134,5102,01,04,18,16,31,40,51,55,72,63,,,,,,base02.ai,4,4
42,4557,,,16,17,37,35,54,57,61,66,free01.ai,,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner10.ai,,1,5
37,5139,07,08,,,31,39,56,49,63,73,free02.ai,,,,,base02.ai,2,6
,,,,,,,,,,,,winner01.ai,,,,,,2,6
20,652,05,02,,,35,42,50,49,67,62,free02.ai,,,,,base02.ai,3,7
42,5985,,,23,18,37,39,48,52,63,69,free01.ai,,,,,base02.ai,3,7
6,2406,,,,,39,40,56,54,66,71,free01.ai,free02.ai,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner09.ai,,4,8
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner07.ai,,1,9
4,5679,,,,,33,41,48,57,67,69,free01.ai,free02.ai,,,,base02.ai,1,9
45,4946,,,28,29,40,38,54,57,61,64,free01.ai,,,,,base02.ai,2,10
23,5773,11,15,,,32,45,58,46,67,75,free02.ai,,,,,base02.ai,2,10
124,1347,12,10,22,16,41,45,58,55,66,64,,,,,,base02.ai,3,11
128,3289,07,15,29,21,41,31,57,50,63,72,,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner14.ai,,4,12
125,464,02,14,26,21,45,34,55,59,73,69,,,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner07.ai,nonwinner03.ai,,1,13
33,6565,06,08,24,29,,,51,57,66,72,free03.ai,,,,,base02.ai,1,13
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai,,2,14
20,678,06,04,25,26,,,55,49,68,67,free03.ai,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner13.ai,,3,15
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner11.ai,nonwinner03.ai,,3,15
97,321,13,05,19,27,44,45,54,57,68,63,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner02.ai,,4,16
129,138,07,03,19,29,43,44,53,55,62,61,,,,,,base02.ai,1,17
57,1793,07,06,17,26,31,42,52,48,72,70,,,,,,base02.ai,1,17
125,4346,05,15,28,23,39,45,58,59,63,65,,,,,,base02.ai,2,18
121,5595,06,07,17,22,37,41,56,53,63,61,,,,,,base02.ai,2,18
71,194,09,10,21,23,32,44,49,53,66,63,,,,,,base02.ai,3,19
137,4231,01,12,19,24,37,43,49,60,75,66,,,,,,base02.ai,3,19
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner12.ai,nonwinner13.ai,,4,20
42,5376,,,18,30,45,32,49,50,72,70,free01.ai,,,,,base02.ai,4,20
5,4863,06,07,,,,,60,50,67,66,free02.ai,free03.ai,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1,21
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner09.ai,,2,22
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner15.ai,nonwinner14.ai,,2,22
34,3441,,,28,17,38,39,53,58,62,72,free01.ai,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner10.ai,,3,23
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai,,4,24
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner11.ai,,4,24
27,6496,,,24,23,33,44,53,48,74,73,free01.ai,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner06.ai,,1,25
87,3551,05,07,18,27,32,42,59,49,63,73,,,,,,base02.ai,2,26
31,8077,,,16,20,42,39,60,51,68,75,free01.ai,,,,,base02.ai,2,26
4,5499,03,07,,,35,33,56,59,,,free02.ai,free05.ai,,,,base02.ai,3,27
22,869,,,29,24,43,39,52,48,72,62,free01.ai,,,,,base02.ai,3,27
60,5159,15,07,21,25,38,44,57,60,68,70,,,,,,base02.ai,4,28
72,8327,03,01,21,20,37,32,48,49,74,68,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner10.ai,,1,1
24,3498,09,02,,,39,45,59,53,61,71,free02.ai,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner14.ai,nonwinner01.ai,,2,2
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner08.ai,,2,2
24,3257,14,08,,,41,36,59,56,74,68,free02.ai,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner06.ai,nonwinner01.ai,,3,3
46,7628,,,22,20,36,32,53,55,70,71,free01.ai,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner06.ai,,4,4
108,187,10,01,29,21,45,36,46,56,62,63,,,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner04.ai,nonwinner05.ai,,1,5
89,6323,15,05,28,20,31,40,56,47,70,63,,,,,,base02.ai,2,6
51,8953,15,04,,,45,41,60,59,61,67,free02.ai,,,,,base02.ai,2,6
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner14.ai,nonwinner13.ai,,3,7
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner14.ai,,3,7
40,4388,,,22,21,44,34,52,46,74,61,free01.ai,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner14.ai,nonwinner04.ai,,4,8
110,1222,06,14,30,27,44,41,51,46,67,68,,,,,,base02.ai,1,9
30,2798,,,25,17,42,44,56,52,64,65,free01.ai,,,,,base02.ai,1,9
95,1451,05,15,23,28,43,45,50,52,68,63,,,,,,base02.ai,2,10
47,8173,,,21,23,45,41,50,56,64,73,free01.ai,,,,,base02.ai,2,10
,,,,,,,,,,,,winner01.ai,,,,,,3,11
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner08.ai,,3,11
17,7261,,,19,21,31,42,60,52,63,70,free01.ai,,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner06.ai,,4,12
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner02.ai,,1,13
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner08.ai,,1,13
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner03.ai,,2,14
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner10.ai,nonwinner12.ai,,2,14
44,4413,08,09,,,44,35,56,59,66,68,free02.ai,,,,,base02.ai,3,15
14,8015,10,01,,,,,55,52,68,75,free02.ai,free03.ai,,,,base02.ai,3,15
27,3357,05,04,,,39,36,50,52,68,67,free02.ai,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner05.ai,,4,16
103,2415,08,13,18,28,31,36,57,48,75,69,,,,,,base02.ai,1,17
43,7857,05,08,,,38,44,46,48,75,65,free02.ai,,,,,base02.ai,1,17
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner03.ai,,2,18
89,6323,15,05,28,20,31,40,56,47,70,63,,,,,,base02.ai,2,18
73,2054,01,10,25,26,32,37,47,48,66,69,,,,,,base02.ai,3,19
131,1165,09,06,20,18,37,38,48,47,71,67,,,,,,base02.ai,3,19
66,6406,12,11,29,22,43,44,53,54,69,68,,,,,,base02.ai,4,20
36,2130,05,09,23,27,,,46,47,64,68,free03.ai,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner07.ai,,1,21
59,5932,11,10,28,26,35,41,50,52,71,61,,,,,,base02.ai,1,21
133,2713,06,05,20,18,43,44,53,47,73,65,,,,,,base02.ai,2,22
13,349,,,29,30,,,54,47,63,65,free01.ai,free03.ai,,,,base02.ai,2,22
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner10.ai,nonwinner12.ai,,3,23
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner08.ai,,3,23
85,2407,09,12,21,26,36,39,59,48,66,62,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner10.ai,,4,24
107,4407,07,02,27,17,31,40,56,57,68,74,,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner07.ai,,1,25
67,7912,08,02,29,30,34,44,55,59,71,64,,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner12.ai,nonwinner06.ai,,2,26
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner13.ai,,3,27
106,6948,06,09,29,22,36,43,46,57,68,74,,,,,,base02.ai,3,27
66,6406,12,11,29,22,43,44,53,54,69,68,,,,,,base02.ai,4,28
138,6768,09,06,18,27,34,37,60,53,64,72,,,,,,base02.ai,4,28
34,4350,,,30,16,38,33,55,49,67,63,free01.ai,,,,,base02.ai,1,1
102,4049,13,03,23,22,45,42,47,60,71,63,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner12.ai,nonwinner05.ai,,2,2
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner10.ai,,2,2
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner02.ai,,3,3
86,3136,04,03,17,20,41,31,54,52,67,63,,,,,,base02.ai,3,3
126,3741,01,04,27,19,32,38,46,59,61,64,,,,,,base02.ai,4,4
28,3489,06,04,21,24,33,45,,,68,63,free04.ai,,,,,base02.ai,4,4
102,4049,13,03,23,22,45,42,47,60,71,63,,,,,,base02.ai,1,5
6,1794,,,18,20,,,51,52,71,66,free01.ai,free03.ai,,,,base02.ai,1,5
65,1834,07,11,24,20,45,37,56,47,69,62,,,,,,base02.ai,2,6
119,1933,04,12,29,17,36,39,58,53,75,63,,,,,,base02.ai,2,6
,,,,,,,,,,,,winner01.ai,,,,,,3,7
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner13.ai,,3,7
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner05.ai,nonwinner06.ai,,4,8
66,6406,12,11,29,22,43,44,53,54,69,68,,,,,,base02.ai,4,8
38,90,12,01,,,32,44,53,48,72,67,free02.ai,,,,,base02.ai,1,9
8,4885,13,05,,,45,43,,,69,67,free02.ai,free04.ai,,,,base02.ai,1,9
85,5642,03,02,23,29,37,42,59,60,66,75,,,,,,base02.ai,2,10
87,3551,05,07,18,27,32,42,59,49,63,73,,,,,,base02.ai,2,10
58,1641,01,14,22,19,38,42,50,59,75,68,,,,,,base02.ai,3,11
72,8690,03,14,25,20,44,42,46,50,73,61,,,,,,base02.ai,3,11
105,8741,14,08,18,26,40,37,50,51,65,68,,,,,,base02.ai,4,12
93,252,14,08,27,29,37,39,59,53,74,75,,,,,,base02.ai,4,12
3,5679,05,04,,,,,55,50,61,75,free02.ai,free03.ai,,,,base02.ai,1,13
31,4853,,,24,23,41,38,55,51,71,67,free01.ai,,,,,base02.ai,1,13
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner12.ai,,2,14
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner12.ai,nonwinner13.ai,,2,14
140,6395,05,09,28,23,38,33,49,52,67,61,,,,,,base02.ai,3,15
22,869,,,29,24,43,39,52,48,72,62,free01.ai,,,,,base02.ai,3,15
69,2339,14,05,30,27,32,38,53,52,62,72,,,,,,base02.ai,4,16
125,464,02,14,26,21,45,34,55,59,73,69,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1,17
119,739,01,14,27,18,40,44,46,50,69,71,,,,,,base02.ai,1,17
109,8431,14,08,26,17,41,39,51,46,63,62,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner05.ai,,2,18
61,3938,14,02,21,17,36,43,59,56,75,62,,,,,,base02.ai,3,19
113,7477,09,07,23,22,39,38,51,59,72,66,,,,,,base02.ai,3,19
74,5326,06,13,19,29,42,31,52,49,66,69,,,,,,base02.ai,4,20
58,7061,05,12,24,22,43,35,59,47,75,66,,,,,,base02.ai,4,20
19,8857,02,03,29,16,,,46,48,61,68,free03.ai,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner07.ai,,1,21
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner09.ai,nonwinner06.ai,,2,22
63,2452,08,12,17,18,39,38,50,59,62,69,,,,,,base02.ai,2,22
136,4171,10,03,26,22,33,41,57,60,72,68,,,,,,base02.ai,3,23
96,5069,12,07,24,20,40,42,58,49,66,62,,,,,,base02.ai,3,23
45,2336,,,28,23,36,45,50,46,71,72,free01.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner04.ai,nonwinner08.ai,,4,24
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner12.ai,,1,25
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner10.ai,,1,25
5,341,,,27,29,,,58,48,71,74,free01.ai,free03.ai,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner03.ai,nonwinner12.ai,,2,26
98,8416,01,11,18,26,35,37,49,56,67,68,,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner15.ai,nonwinner02.ai,,3,27
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner13.ai,nonwinner11.ai,,4,28
116,3912,09,15,23,28,45,40,48,55,68,75,,,,,,base02.ai,4,28
122,1804,04,01,30,27,39,34,47,57,71,72,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner15.ai,nonwinner13.ai,,1,1
79,4915,11,01,26,17,44,35,53,48,73,62,,,,,,base02.ai,2,2
55,8778,10,12,20,25,39,37,,,70,63,free04.ai,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner02.ai,nonwinner15.ai,,3,3
122,874,10,03,17,26,33,37,47,54,63,67,,,,,,base02.ai,3,3
,,,,,,,,,,,,winner01.ai,,,,,,4,4
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner08.ai,,4,4
14,5894,03,15,,,31,36,,,62,75,free02.ai,free04.ai,,,,base02.ai,1,5
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai,,1,5
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner10.ai,,2,6
19,2379,,,23,24,45,39,59,53,62,70,free01.ai,,,,,base02.ai,2,6
98,8416,01,11,18,26,35,37,49,56,67,68,,,,,,base02.ai,3,7
50,595,09,12,,,35,39,56,49,73,61,free02.ai,,,,,base02.ai,3,7
104,4621,11,05,22,23,44,36,59,52,66,73,,,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner13.ai,nonwinner11.ai,,4,8
50,2089,13,08,,,36,43,55,59,61,62,free02.ai,,,,,base02.ai,1,9
